Messier,NGC,Decouvreur,Annee,Constellation,Objet,Ascension,Declinaison,Mag,Dimension,Distance,Saison
M85,NGC4382,Méchain,1781,Chevelure de Bérénice,Galaxie,12h 25m 30.9s,"+18d 10' 08""","9,2","7,1' x 5,2'",41 000 000 a.l.,Printemps
M86,NGC4406,Messier,1781,Vierge,Galaxie,12h 26m 18.9s,"+12d 56' 10""","9,2","7,4' x 5,5'",20 000 000 a.l.,Printemps
M87,NGC4486,Messier,1781,Vierge,Galaxie,12h 30m 54.9s,"+12d 23' 10""","8,6","7,2' x 6,8'",63 000 000 a.l.,Printemps
M88,NGC4501,Messier,1781,Chevelure de Bérénice,Galaxie,12h 32m 6.9s,"+14d 24' 09""","9,5","6,9' x 3,9'",41 000 000 a.l.,Printemps
M89,NGC4552,Messier,1781,Vierge,Galaxie,12h 35m 48.9s,"+12d 32' 10""","9,8","4,2' x 4,2'",41 000 000 a.l.,Printemps
M90,NGC4560,Messier,1781,Vierge,Galaxie,12h 36m 54.8s,"+13d 09' 10""","9,5","9,5' x 4,7'",41 000 000 a.l.,Printemps
M91,NGC4548,Messier,1781,Chevelure de Bérénice,Galaxie,12h 35m 30.8s,"+14d 29' 10""",10.2,"5,4' x 4,4'",37 000 000 a.l.,Printemps
M92,NGC6341,Bode,1777,Hercule,Amas Globulaires,17h 17m 8.9s,"+43d 07' 55""","6,5","12,2'",28 400 a.l.,Été
M93,NGC2447,Messier,1781,Poupe,Amas Ouvert,07h 44m 43.2s,"-23d 52' 09""","6,2","22,0'",3 600 a.l.,Hiver
M94,NGC4736,Méchain,1781,Chiens de Chasse,Galaxie,12h 51m 0.1s,"+41d 06' 03""","8,2","11,0' x 9,1'",32 600 000 a.l.,Printemps
M95,NGC3351,Méchain,1781,Lion,Galaxie,10h 44m 7.8s,"+11d 41' 13""","9,7","7,4' x 5,1'",20 300 000 a.l.,Printemps
M96,NGC3368,Méchain,1781,Lion,Galaxie,10h 46m 55.8s,"+11d 48' 13""","9,2","7,1' x 5,1'",29 300 000 a.l.,Printemps
M97,NGC3587,Méchain,1781,Grande Ourse,Nébuleuse Planétaire,11h 14m 56.3s,"+54d 59' 58""","11,2",194'',10 000 a.l.,Printemps
M98,NGC4192,Méchain,1781,Chevelure de Bérénice,Galaxie,12h 13m 55.0s,"+14d 53' 09""","10,1","9,5' x 3,2'",36 000 000 a.l.,Printemps
M99,NGC4254,Méchain,1781,Chevelure de Bérénice,Galaxie,12h 18m 55.0s,"+14d 24' 09""","9,8","5,4' x 4,8'",41 000 000 a.l.,Printemps
M100,NGC4321,Méchain,1781,Chevelure de Bérénice,Galaxie,12h 23m 0.9s,"+15d 48' 09""","9,4","6,9' x 6,2'",41 000 000 a.l.,Printemps
M101,NGC5457,Méchain,1781,Grande Ourse,Galaxie,14h 03m 15.5s,"+54d 20' 09""","7,7","27,0' x 26,0'",23 000 000 a.l.,Printemps
M102,NGC5866,Méchain,1781,Dragon,Galaxie,15h 06m 32.0s,"+55d 45' 21""","10,0","5,2' x 2,3'",23 000 000 a.l.,Printemps
M103,NGC581,Méchain,1781,Cassiopée,Amas Ouvert,01h 33m 24.0s,"+60d 43' 01""","7,4","5,0'",8 500 a.l.,Automne
M104,NGC4594,Méchain,1781,Vierge,Galaxie,12h 40m 7.0s,"-11d 37' 43""","8,3","8,9' x 4,1'",40 000 000 a.l.,Printemps
M105,NGC3379,Méchain,1781,Lion,Galaxie,10h 47m 55.8s,"+12d 34' 13""","9,3","4,5' x 4,0'",21 500 000 a.l.,Printemps
M106,NGC4258,Méchain,1781,Chiens de Chasse,Galaxie,12h 19m 6.6s,"+47d 17' 00""","8,3","18,0' x 7,9'",20 000 000 a.l.,Printemps
M107,NGC6171,Méchain,1782,Serpentaire,Amas Globulaires,16h 32m 37.1s,"-13d 03' 18""","8,1","7,8'",19 200 a.l.,Été
M108,NGC3556,Méchain,1782,Grande Ourse,Galaxie,11h 11m 38.4s,"+55d 38' 57""","10,1","8,3' x 2,5'",23 500 000 a.l.,Printemps
M109,NGC3992,Méchain,1782,Grande Ourse,Galaxie,11h 57m 43.0s,"+53d 21' 58""","9,8","7,6' x 4,9'",27 000 000 a.l.,Automne
M110,NGC205,Messier,1773,Andromède,Galaxie,00h 40m 33.3s,"+41d 42' 04""","8,0","17,0, x 9,8'",2 250 000 a.l.,Automne
